"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B","Transcript.stable.ID","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID.version","Chromosome/scaffold.name","Gene.name","MGI.symbol","ensembl.gene","gene.symbol","entrezID","refseqID","unigeneID","chrom","startsite","tiss.number","tissues","max.tissue"
"1","1415682_at",1.01993646517191,9.20725871545929,9.70014321124899,3.50332302191142e-09,1.24836991398275e-07,10.6461164381628,"ENSMUST00000022696","ENSMUSG00000022100","ENSMUSG00000022100.15","ENSMUST00000022696.8","14","Xpo7","Xpo7","ENSMUSG00000022100","Xpo7","65246","Mm.152987/Mm.436084","Mm.152987/Mm.436084","14","70654246","2","bone/bone_marrow","bone_marrow"
"3","1415687_a_at",-0.4833840857162,10.1410303766483,-3.52720835761432,0.00201464709394348,0.0127921262897813,-2.8457272525035,"ENSMUST00000004316","ENSMUSG00000004207","ENSMUSG00000004207.15","ENSMUST00000004316.15","10","Psap","Psap","ENSMUSG00000004207","Psap","19156","Mm.277498/Mm.446546","Mm.277498/Mm.446546","10","60277627","1","macrophage_bone_marrow_0hr/macrophage_bone_marrow_24h_LPS/macrophage_bone_marrow_2hr_LPS/macrophage_peri_LPS_thio_0hrs/macrophage_peri_LPS_thio_1hrs/macrophage_peri_LPS_thio_7hrs/microglia/osteoclasts","macrophage_peri_LPS_thio_1hrs"
"8","1415780_a_at",0.417241692493985,10.0391914438001,3.61269033364099,0.00164670502880799,0.0108138605164722,-2.64758991912529,"ENSMUST00000119010","ENSMUSG00000033436","ENSMUSG00000033436.14","ENSMUST00000119010.8","X","Armcx2","Armcx2","ENSMUSG00000033436","Armcx2","67416","Mm.285969/Mm.457373","Mm.285969/Mm.457373","X","134804145","1","3T3-L1/ciliary_bodies/dendritic_plasmacytoid_B220+/iris/lens/osteoblast_day14/osteoblast_day5/retina/stem_cells__HSC","lens"
"12","1415793_at",1.32415798181456,9.13205226489155,10.8405303224303,4.97744137058008e-10,2.16385967850351e-08,12.6588092756258,"ENSMUST00000018803","ENSMUSG00000018659","ENSMUSG00000018659.13","ENSMUST00000018803.12","11","Pnpo","Pnpo","ENSMUSG00000018659","Pnpo","103711","Mm.254704/Mm.446659","Mm.254704/Mm.446659","11","96937825","3","bone/bone_marrow/liver","liver"
"14","1415810_at",0.507008770308328,10.2281711452267,5.55186351121645,1.68658669744141e-05,0.000220848029197097,1.94733385048984,"ENSMUST00000001258","ENSMUSG00000001228","ENSMUSG00000001228.15","ENSMUST00000001258.15","17","Uhrf1","Uhrf1","ENSMUSG00000001228","Uhrf1","18140","Mm.42196","Mm.42196","17","56303321","3","bone/bone_marrow/C2C12/C3H_10T1_2/common_myeloid_progenitor/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/mega_erythrocyte_progenitor/mIMCD-3/neuro2a/nih_3T3/osteoclasts/RAW_264_7/stem_cells__HSC/testis/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD8+","thymocyte_DP_CD4+CD8+"
"18","1415822_at",-0.402487868647249,11.7331263217171,-4.92116535600004,7.3471961044236e-05,0.000776516463483732,0.456738841343271,"ENSMUST00000026221","ENSMUSG00000025203","ENSMUSG00000025203.7","ENSMUST00000026221.7","19","Scd2","Scd2","ENSMUSG00000025203","Scd2","20250","Mm.396983/Mm.397176/Mm.487021","Mm.396983/Mm.397176/Mm.487021","19","44293676","4","3T3-L1/amygdala/C3H_10T1_2/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia/dorsal_striatum/hippocampus/hypothalamus/mast_cells/microglia/mIMCD-3/min6/neuro2a/nih_3T3/nucleus_accumbens/olfactory_bulb/osteoblast_day14/osteoblast_day5/osteoclasts/ovary/spinal_cord/umbilical_cord","spinal_cord"
"19","1415829_at",0.420339100781401,10.8826498754022,3.89879661127733,0.000835357152420481,0.00616915514262056,-1.97728512560411,"ENSMUST00000005003","ENSMUSG00000004880","ENSMUSG00000004880.12","ENSMUST00000005003.12","1","Lbr","Lbr","ENSMUSG00000004880","Lbr","98386","Mm.422195","Mm.422195","1","181815316","2","Baf3/bone/bone_marrow/common_myeloid_progenitor/granulo_mono_progenitor/granulocytes_mac1+gr1+/mast_cells/mast_cells_IgE/mega_erythrocyte_progenitor/NK_cells/RAW_264_7/stem_cells__HSC/T-cells_CD4+/T-cells_CD8+/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD8+","bone_marrow"
"20","1415861_at",-0.541924937484349,6.09776242711083,-5.34352153302421,2.73179751301319e-05,0.000329280066217357,1.4577884681658,"ENSMUST00000102831","ENSMUSG00000005994","ENSMUSG00000005994.15","ENSMUST00000102831.8","4","Tyrp1","Tyrp1","ENSMUSG00000005994","Tyrp1","22178","Mm.30438/Mm.412291","Mm.30438/Mm.412291","4","80834123","2","ciliary_bodies/dendritic_cells_lymphoid_CD8a+/dorsal_root_ganglia/eyecup/iris/retinal_pigment_epithelium","iris"
"23","1415864_at",0.81589040983182,9.267788960574,5.51981734023561,1.81594728000374e-05,0.000234490934908997,1.8722548875711,"ENSMUST00000045372","ENSMUSG00000038871","ENSMUSG00000038871.6","ENSMUST00000045372.6","6","Bpgm","Bpgm","ENSMUSG00000038871","Bpgm","12183","Mm.282863/Mm.431390/Mm.440661","Mm.282863/Mm.431390/Mm.440661","6","34476207","5","bone/bone_marrow/skeletal_muscle/spleen/umbilical_cord","bone_marrow"
"24","1415878_at",0.608031453331344,10.8206614724542,5.67479781653343,1.2714953696122e-05,0.00017095714031425,2.23454484319261,"ENSMUST00000033283","ENSMUSG00000030978","ENSMUSG00000030978.11","ENSMUST00000033283.10","7","Rrm1","Rrm1","ENSMUSG00000030978","Rrm1","20133","Mm.197486/Mm.415177","Mm.197486/Mm.415177","7","102441695","3","3T3-L1/Baf3/bone/bone_marrow/C2C12/C3H_10T1_2/common_myeloid_progenitor/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/mIMCD-3/min6/neuro2a/nih_3T3/osteoblast_day14/osteoblast_day5/osteoclasts/RAW_264_7/thymocyte_DP_CD4+CD8+/umbilical_cord","bone_marrow"
