"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B","Transcript.stable.ID","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID.version","Chromosome/scaffold.name","Gene.name","MGI.symbol","ensembl.gene","gene.symbol","entrezID","refseqID","unigeneID","chrom","startsite","tiss.number","tissues","max.tissue"
"1","1415682_at",1.01993646517191,9.20725871545929,9.70014321124899,3.50332302191142e-09,1.24836991398275e-07,10.6461164381628,"ENSMUST00000167242","ENSMUSG00000022100","ENSMUSG00000022100.15","ENSMUST00000167242.8","14","Xpo7","Xpo7","ENSMUSG00000022100","Xpo7","65246","Mm.152987/Mm.436084","Mm.152987/Mm.436084","14","70654246","2","bone/bone_marrow","bone_marrow"
"3","1415793_at",1.32415798181456,9.13205226489155,10.8405303224303,4.97744137058008e-10,2.16385967850351e-08,12.6588092756258,"ENSMUST00000153896","ENSMUSG00000018659","ENSMUSG00000018659.13","ENSMUST00000153896.2","11","Pnpo","Pnpo","ENSMUSG00000018659","Pnpo","103711","Mm.254704/Mm.446659","Mm.254704/Mm.446659","11","96937825","3","bone/bone_marrow/liver","liver"
"5","1415810_at",0.507008770308328,10.2281711452267,5.55186351121645,1.68658669744141e-05,0.000220848029197097,1.94733385048984,"ENSMUST00000113035","ENSMUSG00000001228","ENSMUSG00000001228.15","ENSMUST00000113035.8","17","Uhrf1","Uhrf1","ENSMUSG00000001228","Uhrf1","18140","Mm.42196","Mm.42196","17","56303321","3","bone/bone_marrow/C2C12/C3H_10T1_2/common_myeloid_progenitor/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/mega_erythrocyte_progenitor/mIMCD-3/neuro2a/nih_3T3/osteoclasts/RAW_264_7/stem_cells__HSC/testis/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD8+","thymocyte_DP_CD4+CD8+"
"9","1415822_at",-0.402487868647249,11.7331263217171,-4.92116535600004,7.3471961044236e-05,0.000776516463483732,0.456738841343271,"ENSMUST00000026221","ENSMUSG00000025203","ENSMUSG00000025203.7","ENSMUST00000026221.7","19","Scd2","Scd2","ENSMUSG00000025203","Scd2","20250","Mm.396983/Mm.397176/Mm.487021","Mm.396983/Mm.397176/Mm.487021","19","44293676","4","3T3-L1/amygdala/C3H_10T1_2/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia/dorsal_striatum/hippocampus/hypothalamus/mast_cells/microglia/mIMCD-3/min6/neuro2a/nih_3T3/nucleus_accumbens/olfactory_bulb/osteoblast_day14/osteoblast_day5/osteoclasts/ovary/spinal_cord/umbilical_cord","spinal_cord"
"10","1415829_at",0.420339100781401,10.8826498754022,3.89879661127733,0.000835357152420481,0.00616915514262056,-1.97728512560411,"ENSMUST00000005003","ENSMUSG00000004880","ENSMUSG00000004880.12","ENSMUST00000005003.12","1","Lbr","Lbr","ENSMUSG00000004880","Lbr","98386","Mm.422195","Mm.422195","1","181815316","2","Baf3/bone/bone_marrow/common_myeloid_progenitor/granulo_mono_progenitor/granulocytes_mac1+gr1+/mast_cells/mast_cells_IgE/mega_erythrocyte_progenitor/NK_cells/RAW_264_7/stem_cells__HSC/T-cells_CD4+/T-cells_CD8+/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD8+","bone_marrow"
"11","1415861_at",-0.541924937484349,6.09776242711083,-5.34352153302421,2.73179751301319e-05,0.000329280066217357,1.4577884681658,"ENSMUST00000006151","ENSMUSG00000005994","ENSMUSG00000005994.15","ENSMUST00000006151.13","4","Tyrp1","Tyrp1","ENSMUSG00000005994","Tyrp1","22178","Mm.30438/Mm.412291","Mm.30438/Mm.412291","4","80834123","2","ciliary_bodies/dendritic_cells_lymphoid_CD8a+/dorsal_root_ganglia/eyecup/iris/retinal_pigment_epithelium","iris"
"14","1415864_at",0.81589040983182,9.267788960574,5.51981734023561,1.81594728000374e-05,0.000234490934908997,1.8722548875711,"ENSMUST00000045372","ENSMUSG00000038871","ENSMUSG00000038871.6","ENSMUST00000045372.6","6","Bpgm","Bpgm","ENSMUSG00000038871","Bpgm","12183","Mm.282863/Mm.431390/Mm.440661","Mm.282863/Mm.431390/Mm.440661","6","34476207","5","bone/bone_marrow/skeletal_muscle/spleen/umbilical_cord","bone_marrow"
"15","1415878_at",0.608031453331344,10.8206614724542,5.67479781653343,1.2714953696122e-05,0.00017095714031425,2.23454484319261,"ENSMUST00000033283","ENSMUSG00000030978","ENSMUSG00000030978.11","ENSMUST00000033283.10","7","Rrm1","Rrm1","ENSMUSG00000030978","Rrm1","20133","Mm.197486/Mm.415177","Mm.197486/Mm.415177","7","102441695","3","3T3-L1/Baf3/bone/bone_marrow/C2C12/C3H_10T1_2/common_myeloid_progenitor/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/mIMCD-3/min6/neuro2a/nih_3T3/osteoblast_day14/osteoblast_day5/osteoclasts/RAW_264_7/thymocyte_DP_CD4+CD8+/umbilical_cord","bone_marrow"
"16","1415891_at",-0.71776840327745,10.4404457113167,-7.13899250486733,5.04499318850256e-07,1.04771976376513e-05,5.53223430133172,"ENSMUST00000064740","ENSMUSG00000052738","ENSMUSG00000052738.15","ENSMUST00000064740.9","6","Suclg1","Suclg1","ENSMUSG00000052738","Suclg1","56451","Mm.29845","Mm.29845","6","73248382","4","adipose_brown/heart/kidney/skeletal_muscle","adipose_brown"
"17","1415922_s_at",0.507272132885001,11.8199407702072,4.8021673328397,9.73208509344793e-05,0.000985449175378477,0.173222485208616,"ENSMUST00000062356","ENSMUSG00000047945","ENSMUSG00000047945.7","ENSMUST00000062356.7","4","Marcksl1","Marcksl1","ENSMUSG00000047945","Marcksl1","17357","Mm.424974/Mm.443445/Mm.482672","Mm.424974/Mm.443445/Mm.482672","4","129513581","3","amygdala/dendritic_cells_lymphoid_CD8a+/dendritic_cells_myeloid_CD8a-/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/macrophage_bone_marrow_6hr_LPS/macrophage_peri_LPS_thio_1hrs/macrophage_peri_LPS_thio_7hrs/microglia/mIMCD-3/neuro2a/ovary/uterus","macrophage_bone_marrow_2hr_LPS"
"18","1415946_at",0.601399921470831,8.79725285904856,4.70749463234985,0.000121784236944116,0.00120326516532209,-0.0526098463637554,"ENSMUST00000026823","ENSMUSG00000025728","ENSMUSG00000025728.17","ENSMUST00000026823.16","17","Pigq","Pigq","ENSMUSG00000025728","Pigq","14755","Mm.362054","Mm.362054","17","25926427","2","bone/bone_marrow/mega_erythrocyte_progenitor","bone_marrow"
"23","1415947_at",0.46374991418211,8.73989805764088,3.76701094469396,0.00114258740156896,0.00802025021058258,-2.28725021736715,"ENSMUST00000040298","ENSMUSG00000040713","ENSMUSG00000040713.13","ENSMUST00000040298.5","1","Creg1","Creg1","ENSMUSG00000040713","Creg1","433375","Mm.294885","Mm.294885","1","165763746","5","bone/bone_marrow/liver/macrophage_bone_marrow_0hr/macrophage_bone_marrow_24h_LPS/macrophage_bone_marrow_2hr_LPS/macrophage_peri_LPS_thio_0hrs/macrophage_peri_LPS_thio_1hrs/macrophage_peri_LPS_thio_7hrs/mast_cells/mast_cells_IgE/mast_cells_IgE+antigen_1hr/mast_cells_IgE+antigen_6hr/microglia/osteoclasts/placenta/RAW_264_7","placenta"
"26","1416006_at",0.74910174162483,12.2068247785835,7.13434597006244,5.09470147637104e-07,1.05468407388621e-05,5.52217743805161,"ENSMUST00000142231","ENSMUSG00000040479","ENSMUSG00000040479.13","ENSMUST00000142231.8","2","Dgkz","Dgkz","ENSMUSG00000040479","Dgkz","104418",NA,NA,"2","91932824","2","amygdala/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia","dorsal_root_ganglia"
