"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B","Transcript.stable.ID","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID.version","Chromosome/scaffold.name","Gene.name","MGI.symbol","ensembl.gene","gene.symbol","entrezID","refseqID","unigeneID","chrom","startsite","tiss.number","tissues","max.tissue"
"1","1415682_at",-0.411277401775219,9.20725871545929,-3.91146883457845,0.000810542966689928,0.00993524564997184,-1.19613041613846,"ENSMUST00000022696","ENSMUSG00000022100","ENSMUSG00000022100.15","ENSMUST00000022696.8","14","Xpo7","Xpo7","ENSMUSG00000022100","Xpo7","65246","Mm.152987/Mm.436084","Mm.152987/Mm.436084","14","70654246","2","bone/bone_marrow","bone_marrow"
"3","1415770_at",0.47848776673729,10.023080951377,3.3778590251813,0.00286073605940929,0.0257308411633214,-2.4281856865447,"ENSMUST00000068700","ENSMUSG00000066357","ENSMUSG00000066357.7","ENSMUST00000068700.7","9","Wdr6","Wdr6","ENSMUSG00000066357","Wdr6","83669","Mm.335454/Mm.481124","Mm.335454/Mm.481124","9","108572313","3","adrenal_gland/amygdala/hypothalamus/min6/pituitary/retina/retinal_pigment_epithelium","hypothalamus"
"4","1415793_at",-1.22479989439924,9.13205226489155,-10.0271120036218,1.97171744080851e-09,2.17924905618853e-07,11.7852668613316,"ENSMUST00000018803","ENSMUSG00000018659","ENSMUSG00000018659.13","ENSMUST00000018803.12","11","Pnpo","Pnpo","ENSMUSG00000018659","Pnpo","103711","Mm.254704/Mm.446659","Mm.254704/Mm.446659","11","96937825","3","bone/bone_marrow/liver","liver"
"6","1415802_at",-0.477059036813495,10.7305486501305,-3.5080459854465,0.0021076240925385,0.0206363614225879,-2.13142509929401,"ENSMUST00000046212","ENSMUSG00000032902","ENSMUSG00000032902.2","ENSMUST00000046212.2","3","Slc16a1","Slc16a1","ENSMUSG00000032902","Slc16a1","20501","Mm.9086/Mm.468394","Mm.9086/Mm.468394","3","104638668","5","bone_marrow/intestine_large/placenta/retinal_pigment_epithelium/stomach/thymocyte_DP_CD4+CD8+","retinal_pigment_epithelium"
"7","1415818_at",-0.425495570845735,8.76388057655793,-4.5445755210364,0.000179316261468309,0.00293062992740562,0.296684620718167,"ENSMUST00000108883","ENSMUSG00000018340","ENSMUSG00000018340.14","ENSMUST00000108883.10","11","Anxa6","Anxa6","ENSMUSG00000018340","Anxa6","11749","Mm.265347","Mm.265347","11","54979108","4","adipose_brown/C2C12/C3H_10T1_2/dorsal_root_ganglia/macrophage_bone_marrow_6hr_LPS/mammary_gland_non-lactating/mast_cells/osteoblast_day14/osteoblast_day21/osteoblast_day5/uterus","C2C12"
"9","1415821_at",-0.431634285539308,9.82255979929451,-3.01176929389535,0.00667260154619964,0.0493893696739703,-3.24352334588752,"ENSMUST00000176557","ENSMUSG00000032336","ENSMUSG00000032336.18","ENSMUST00000176557.8","9","Nptn","Nptn","ENSMUSG00000032336","Nptn","20320","Mm.15125/Mm.408390/Mm.483298/Mm.486714","Mm.15125/Mm.408390/Mm.483298/Mm.486714","9","58582240","1","dorsal_striatum","dorsal_striatum"
"12","1415822_at",0.255351528616446,11.7331263217171,3.12214899905529,0.00518043033989165,0.0402502384485275,-3.00109931157363,"ENSMUST00000026221","ENSMUSG00000025203","ENSMUSG00000025203.7","ENSMUST00000026221.7","19","Scd2","Scd2","ENSMUSG00000025203","Scd2","20250","Mm.396983/Mm.397176/Mm.487021","Mm.396983/Mm.397176/Mm.487021","19","44293676","4","3T3-L1/amygdala/C3H_10T1_2/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia/dorsal_striatum/hippocampus/hypothalamus/mast_cells/microglia/mIMCD-3/min6/neuro2a/nih_3T3/nucleus_accumbens/olfactory_bulb/osteoblast_day14/osteoblast_day5/osteoclasts/ovary/spinal_cord/umbilical_cord","spinal_cord"
"13","1415832_at",-1.6165225921163,7.80019077389911,-11.6133095321476,1.43856540999663e-10,2.53537433475352e-08,14.4048676737881,"ENSMUST00000089188","ENSMUSG00000068122","ENSMUSG00000068122.11","ENSMUST00000089188.9","X","Agtr2","Agtr2","ENSMUSG00000068122","Agtr2","11609","Mm.2679/Mm.474819/Mm.491304","Mm.2679/Mm.474819/Mm.491304","X","21484544","2","adrenal_gland/osteoblast_day14/osteoblast_day21/umbilical_cord","umbilical_cord"
"14","1415854_at",-0.318435696869537,6.85689891829637,-3.8189932274542,0.00100990503918892,0.0117810210385527,-1.41220669531817,"ENSMUST00000020129","ENSMUSG00000019966","ENSMUSG00000019966.19","ENSMUST00000020129.8","10","Kitl","Kitl","ENSMUSG00000019966","Kitl","17311","Mm.45124/Mm.403211/Mm.456756","Mm.45124/Mm.403211/Mm.456756","10","100015630","1","lung","lung"
"16","1415922_s_at",0.493753548772002,11.8199407702072,4.6741916393111,0.000131794244369315,0.0023290793158057,0.603219155801715,"ENSMUST00000062356","ENSMUSG00000047945","ENSMUSG00000047945.7","ENSMUST00000062356.7","4","Marcksl1","Marcksl1","ENSMUSG00000047945","Marcksl1","17357","Mm.424974/Mm.443445/Mm.482672","Mm.424974/Mm.443445/Mm.482672","4","129513581","3","amygdala/dendritic_cells_lymphoid_CD8a+/dendritic_cells_myeloid_CD8a-/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/macrophage_bone_marrow_6hr_LPS/macrophage_peri_LPS_thio_1hrs/macrophage_peri_LPS_thio_7hrs/microglia/mIMCD-3/neuro2a/ovary/uterus","macrophage_bone_marrow_2hr_LPS"
