"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B","Transcript.stable.ID","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID.version","Chromosome/scaffold.name","Gene.name","MGI.symbol","ensembl.gene","gene.symbol","entrezID","refseqID","unigeneID","chrom","startsite","tiss.number","tissues","max.tissue"
"1","1415687_a_at",-0.407731492522991,10.1410303766483,-3.64383458154143,0.00152982162318862,0.0157598211766398,-1.86856436889205,"ENSMUST00000165878","ENSMUSG00000004207","ENSMUSG00000004207.15","ENSMUST00000165878.2","10","Psap","Psap","ENSMUSG00000004207","Psap","19156","Mm.277498/Mm.446546","Mm.277498/Mm.446546","10","60277627","1","macrophage_bone_marrow_0hr/macrophage_bone_marrow_24h_LPS/macrophage_bone_marrow_2hr_LPS/macrophage_peri_LPS_thio_0hrs/macrophage_peri_LPS_thio_1hrs/macrophage_peri_LPS_thio_7hrs/microglia/osteoclasts","macrophage_peri_LPS_thio_1hrs"
"6","1415802_at",0.743353641425248,10.7305486501305,6.69474829718555,1.30497628384017e-06,4.86271448395529e-05,5.19812064092397,"ENSMUST00000046212","ENSMUSG00000032902","ENSMUSG00000032902.2","ENSMUST00000046212.2","3","Slc16a1","Slc16a1","ENSMUSG00000032902","Slc16a1","20501","Mm.9086/Mm.468394","Mm.9086/Mm.468394","3","104638668","5","bone_marrow/intestine_large/placenta/retinal_pigment_epithelium/stomach/thymocyte_DP_CD4+CD8+","retinal_pigment_epithelium"
"7","1415806_at",-0.276825558053927,8.17919714623585,-3.75614217975505,0.00117243906257592,0.0126371489703431,-1.60793320965138,"ENSMUST00000033941","ENSMUSG00000031538","ENSMUSG00000031538.7","ENSMUST00000033941.7","8","Plat","Plat","ENSMUSG00000031538","Plat","18791",NA,NA,"8","22757744","5","3T3-L1/iris/kidney/lung/mIMCD-3/osteoblast_day14/osteoblast_day21/osteoblast_day5/ovary/uterus","uterus"
"8","1415810_at",0.367531929820071,10.2281711452267,4.92905896293012,7.21169308018418e-05,0.00135917487213529,1.15869805855829,"ENSMUST00000001258","ENSMUSG00000001228","ENSMUSG00000001228.15","ENSMUST00000001258.15","17","Uhrf1","Uhrf1","ENSMUSG00000001228","Uhrf1","18140","Mm.42196","Mm.42196","17","56303321","3","bone/bone_marrow/C2C12/C3H_10T1_2/common_myeloid_progenitor/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/mega_erythrocyte_progenitor/mIMCD-3/neuro2a/nih_3T3/osteoclasts/RAW_264_7/stem_cells__HSC/testis/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD8+","thymocyte_DP_CD4+CD8+"
"12","1415818_at",-0.341182240977,8.76388057655793,-4.46303536424274,0.000217712995761622,0.00330933903347678,0.05625080282499,"ENSMUST00000102727","ENSMUSG00000018340","ENSMUSG00000018340.14","ENSMUST00000102727.3","11","Anxa6","Anxa6","ENSMUSG00000018340","Anxa6","11749","Mm.265347","Mm.265347","11","54979108","4","adipose_brown/C2C12/C3H_10T1_2/dorsal_root_ganglia/macrophage_bone_marrow_6hr_LPS/mammary_gland_non-lactating/mast_cells/osteoblast_day14/osteoblast_day21/osteoblast_day5/uterus","C2C12"
"14","1415832_at",-0.565031832278211,7.80019077389911,-4.97156094758679,6.52438588286359e-05,0.00124039417907153,1.25893517078311,"ENSMUST00000089188","ENSMUSG00000068122","ENSMUSG00000068122.11","ENSMUST00000089188.9","X","Agtr2","Agtr2","ENSMUSG00000068122","Agtr2","11609","Mm.2679/Mm.474819/Mm.491304","Mm.2679/Mm.474819/Mm.491304","X","21484544","2","adrenal_gland/osteoblast_day14/osteoblast_day21/umbilical_cord","umbilical_cord"
"15","1415844_at",-0.481407064136393,6.9454448352501,-4.53846302153867,0.000181942039244898,0.00289508827608951,0.234885434195747,"ENSMUST00000025110","ENSMUSG00000024261","ENSMUSG00000024261.7","ENSMUST00000025110.5","18","Syt4","Syt4","ENSMUSG00000024261","Syt4","20983","Mm.233846/Mm.397086/Mm.491374","Mm.233846/Mm.397086/Mm.491374","18","31437808","4","adrenal_gland/amygdala/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/ciliary_bodies/dorsal_root_ganglia/dorsal_striatum/eyecup/hippocampus/hypothalamus/iris/min6/neuro2a/nucleus_accumbens/olfactory_bulb/pituitary/retina/spinal_cord","cerebral_cortex_prefrontal"
"16","1415856_at",0.788744299495933,9.27937553167532,8.99255797343874,1.27057293986373e-08,1.11964947849343e-06,9.88247518799424,"ENSMUST00000022242","ENSMUSG00000021728","ENSMUSG00000021728.9","ENSMUST00000022242.9","13","Emb","Emb","ENSMUSG00000021728","Emb","13723","Mm.274926/Mm.397844","Mm.274926/Mm.397844","13","117220625","2","common_myeloid_progenitor/dorsal_root_ganglia/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/granulocytes_mac1+gr1+/macrophage_peri_LPS_thio_0hrs/min6/neuro2a/osteoblast_day14/osteoblast_day21/osteoblast_day5/osteoclasts/pituitary/stem_cells__HSC/T-cells_CD4+/T-cells_CD8+/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD4+/thymocyte_SP_CD8+","granulo_mono_progenitor"
"17","1415864_at",-0.376738099108254,9.267788960574,-3.12160573379802,0.00518691531089185,0.0398396640074508,-3.05303195294234,"ENSMUST00000045372","ENSMUSG00000038871","ENSMUSG00000038871.6","ENSMUST00000045372.6","6","Bpgm","Bpgm","ENSMUSG00000038871","Bpgm","12183","Mm.282863/Mm.431390/Mm.440661","Mm.282863/Mm.431390/Mm.440661","6","34476207","5","bone/bone_marrow/skeletal_muscle/spleen/umbilical_cord","bone_marrow"
"18","1415911_at",0.351999668352891,8.67016673430322,3.66648228147394,0.00145000351913981,0.0150325484074892,-1.81613612093412,"ENSMUST00000025290","ENSMUSG00000024423","ENSMUSG00000024423.7","ENSMUST00000025290.7","18","Impact","Impact","ENSMUSG00000024423","Impact","16210","Mm.8154/Mm.490822/Mm.491575","Mm.8154/Mm.490822/Mm.491575","18","12972252","1","amygdala/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_striatum/hippocampus/hypothalamus/nucleus_accumbens/osteoblast_day14/osteoblast_day5/spinal_cord","hypothalamus"
"19","1415931_at",0.510108762797497,7.72630581438794,4.34119884588723,0.000291030138641107,0.00413465693699055,-0.232185813870055,"ENSMUST00000121128","ENSMUSG00000048583","ENSMUSG00000048583.17","ENSMUST00000121128.8","7","Igf2","Igf2","ENSMUSG00000048583","Igf2","16002","Mm.3862/Mm.419447","Mm.3862/Mm.419447","7","142650766","2","min6/osteoblast_day14/osteoblast_day21/osteoblast_day5/placenta/umbilical_cord","umbilical_cord"
