"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B","Transcript.stable.ID","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID.version","Chromosome/scaffold.name","Gene.name","MGI.symbol","ensembl.gene","gene.symbol","entrezID","refseqID","unigeneID","chrom","startsite","tiss.number","tissues","max.tissue"
"1","1415694_at",0.589470928846513,8.79701798402965,5.96104548123366,6.62807357475004e-06,7.01650450989367e-05,3.51693474511808,"ENSMUST00000161410","ENSMUSG00000021266","ENSMUSG00000021266.17","ENSMUST00000161410.8","12","Wars","Wars","ENSMUSG00000021266","Wars","22375/101056688","Mm.38433","Mm.38433","12","108860030","1","adipose_white/macrophage_peri_LPS_thio_7hrs","adipose_white"
"4","1415698_at",0.961052510821535,10.0432644425428,8.58842078520477,2.72799641458741e-08,8.27407656722068e-07,9.07962523871187,"ENSMUST00000022039","ENSMUSG00000021556","ENSMUSG00000021556.13","ENSMUST00000022039.7","13","Golm1","Golm1","ENSMUSG00000021556","Golm1","105348","Mm.171335/Mm.409995/Mm.417322","Mm.171335/Mm.409995/Mm.417322","13","59634996","4","intestine_large/intestine_small/mega_erythrocyte_progenitor/NK_cells/placenta/stomach/uterus","intestine_large"
"6","1415760_s_at",0.52950766939734,9.71573153318941,4.33197194012768,0.000297501740724554,0.00172445231223539,-0.298737422840802,"ENSMUST00000108857","ENSMUSG00000018585","ENSMUSG00000018585.10","ENSMUST00000108857.2","11","Atox1","Atox1","ENSMUSG00000018585","Atox1","11927",NA,NA,"11","55446641","1","macrophage_bone_marrow_0hr/microglia/osteoclasts","osteoclasts"
"7","1415793_at",-0.555405148356732,9.13205226489155,-4.98093930853109,6.38188432443553e-05,0.0004649155808326,1.23789065510133,"ENSMUST00000153896","ENSMUSG00000018659","ENSMUSG00000018659.13","ENSMUST00000153896.2","11","Pnpo","Pnpo","ENSMUSG00000018659","Pnpo","103711","Mm.254704/Mm.446659","Mm.254704/Mm.446659","11","96937825","3","bone/bone_marrow/liver","liver"
"9","1415799_at",0.389216253792329,9.65435769267719,3.88498955726046,0.000863253164481849,0.00424210541491043,-1.35281387969099,"ENSMUST00000116514","ENSMUSG00000030216","ENSMUSG00000030216.13","ENSMUST00000116514.4","6","Wbp11","Wbp11","ENSMUSG00000030216","Wbp11","60321","Mm.141197/Mm.410141/Mm.412991","Mm.141197/Mm.410141/Mm.412991","6","136813654","1","testis","testis"
"10","1415802_at",0.440669648018268,10.7305486501305,3.5497430077778,0.00191045783301514,0.00837800640826614,-2.13192527834501,"ENSMUST00000046212","ENSMUSG00000032902","ENSMUSG00000032902.2","ENSMUST00000046212.2","3","Slc16a1","Slc16a1","ENSMUSG00000032902","Slc16a1","20501","Mm.9086/Mm.468394","Mm.9086/Mm.468394","3","104638668","5","bone_marrow/intestine_large/placenta/retinal_pigment_epithelium/stomach/thymocyte_DP_CD4+CD8+","retinal_pigment_epithelium"
"11","1415810_at",0.815581814259176,10.2281711452267,9.78321201266273,3.02368120197704e-09,1.54042383735096e-07,11.3062913972634,"ENSMUST00000113038","ENSMUSG00000001228","ENSMUSG00000001228.15","ENSMUST00000113038.8","17","Uhrf1","Uhrf1","ENSMUSG00000001228","Uhrf1","18140","Mm.42196","Mm.42196","17","56303321","3","bone/bone_marrow/C2C12/C3H_10T1_2/common_myeloid_progenitor/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/mega_erythrocyte_progenitor/mIMCD-3/neuro2a/nih_3T3/osteoclasts/RAW_264_7/stem_cells__HSC/testis/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD8+","thymocyte_DP_CD4+CD8+"
"15","1415818_at",-0.679678178494987,8.76388057655793,-7.95229039769458,9.48253435375885e-08,2.1672905375911e-06,7.81689193183212,"ENSMUST00000108883","ENSMUSG00000018340","ENSMUSG00000018340.14","ENSMUST00000108883.10","11","Anxa6","Anxa6","ENSMUSG00000018340","Anxa6","11749","Mm.265347","Mm.265347","11","54979108","4","adipose_brown/C2C12/C3H_10T1_2/dorsal_root_ganglia/macrophage_bone_marrow_6hr_LPS/mammary_gland_non-lactating/mast_cells/osteoblast_day14/osteoblast_day21/osteoblast_day5/uterus","C2C12"
"17","1415821_at",-0.605260804357899,9.82255979929451,-4.62635484727291,0.000147643005327338,0.000932926393158501,0.3989867661342,"ENSMUST00000085651","ENSMUSG00000032336","ENSMUSG00000032336.18","ENSMUST00000085651.12","9","Nptn","Nptn","ENSMUSG00000032336","Nptn","20320","Mm.15125/Mm.408390/Mm.483298/Mm.486714","Mm.15125/Mm.408390/Mm.483298/Mm.486714","9","58582240","1","dorsal_striatum","dorsal_striatum"
"20","1415822_at",0.463672351529407,11.7331263217171,6.21036300581477,3.78715037971624e-06,4.4258078183028e-05,4.08233563478681,"ENSMUST00000026221","ENSMUSG00000025203","ENSMUSG00000025203.7","ENSMUST00000026221.7","19","Scd2","Scd2","ENSMUSG00000025203","Scd2","20250","Mm.396983/Mm.397176/Mm.487021","Mm.396983/Mm.397176/Mm.487021","19","44293676","4","3T3-L1/amygdala/C3H_10T1_2/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia/dorsal_striatum/hippocampus/hypothalamus/mast_cells/microglia/mIMCD-3/min6/neuro2a/nih_3T3/nucleus_accumbens/olfactory_bulb/osteoblast_day14/osteoblast_day5/osteoclasts/ovary/spinal_cord/umbilical_cord","spinal_cord"
