"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B","Transcript.stable.ID","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID.version","Chromosome/scaffold.name","Gene.name","MGI.symbol","ensembl.gene","gene.symbol","entrezID","refseqID","unigeneID","chrom","startsite","tiss.number","tissues","max.tissue"
"1","1415682_at",-0.411277401775219,9.20725871545929,-3.91146883457845,0.000810542966689928,0.00993524564997184,-1.19613041613846,"ENSMUST00000167242","ENSMUSG00000022100","ENSMUSG00000022100.15","ENSMUST00000167242.8","14","Xpo7","Xpo7","ENSMUSG00000022100","Xpo7","65246","Mm.152987/Mm.436084","Mm.152987/Mm.436084","14","70654246","2","bone/bone_marrow","bone_marrow"
"3","1415793_at",-1.22479989439924,9.13205226489155,-10.0271120036218,1.97171744080851e-09,2.17924905618853e-07,11.7852668613316,"ENSMUST00000018803","ENSMUSG00000018659","ENSMUSG00000018659.13","ENSMUST00000018803.12","11","Pnpo","Pnpo","ENSMUSG00000018659","Pnpo","103711","Mm.254704/Mm.446659","Mm.254704/Mm.446659","11","96937825","3","bone/bone_marrow/liver","liver"
"5","1415818_at",-0.425495570845735,8.76388057655793,-4.5445755210364,0.000179316261468309,0.00293062992740562,0.296684620718167,"ENSMUST00000102727","ENSMUSG00000018340","ENSMUSG00000018340.14","ENSMUST00000102727.3","11","Anxa6","Anxa6","ENSMUSG00000018340","Anxa6","11749","Mm.265347","Mm.265347","11","54979108","4","adipose_brown/C2C12/C3H_10T1_2/dorsal_root_ganglia/macrophage_bone_marrow_6hr_LPS/mammary_gland_non-lactating/mast_cells/osteoblast_day14/osteoblast_day21/osteoblast_day5/uterus","C2C12"
"7","1415832_at",-1.6165225921163,7.80019077389911,-11.6133095321476,1.43856540999663e-10,2.53537433475352e-08,14.4048676737881,"ENSMUST00000089188","ENSMUSG00000068122","ENSMUSG00000068122.11","ENSMUST00000089188.9","X","Agtr2","Agtr2","ENSMUSG00000068122","Agtr2","11609","Mm.2679/Mm.474819/Mm.491304","Mm.2679/Mm.474819/Mm.491304","X","21484544","2","adrenal_gland/osteoblast_day14/osteoblast_day21/umbilical_cord","umbilical_cord"
"8","1415922_s_at",0.493753548772002,11.8199407702072,4.6741916393111,0.000131794244369315,0.0023290793158057,0.603219155801715,"ENSMUST00000062356","ENSMUSG00000047945","ENSMUSG00000047945.7","ENSMUST00000062356.7","4","Marcksl1","Marcksl1","ENSMUSG00000047945","Marcksl1","17357","Mm.424974/Mm.443445/Mm.482672","Mm.424974/Mm.443445/Mm.482672","4","129513581","3","amygdala/dendritic_cells_lymphoid_CD8a+/dendritic_cells_myeloid_CD8a-/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/macrophage_bone_marrow_6hr_LPS/macrophage_peri_LPS_thio_1hrs/macrophage_peri_LPS_thio_7hrs/microglia/mIMCD-3/neuro2a/ovary/uterus","macrophage_bone_marrow_2hr_LPS"
"9","1415946_at",-0.65268844059856,8.79725285904856,-5.10895864967874,4.72401668643431e-05,0.00108469411310698,1.62800192705035,"ENSMUST00000097368","ENSMUSG00000025728","ENSMUSG00000025728.17","ENSMUST00000097368.10","17","Pigq","Pigq","ENSMUSG00000025728","Pigq","14755","Mm.362054","Mm.362054","17","25926427","2","bone/bone_marrow/mega_erythrocyte_progenitor","bone_marrow"
"14","1415960_at",-1.63042826197704,7.20513288828839,-15.1329313391048,1.01064717294220e-12,4.70745015339723e-10,19.2973339754091,"ENSMUST00000121303","ENSMUSG00000009350","ENSMUSG00000009350.14","ENSMUST00000121303.8","11","Mpo","Mpo","ENSMUSG00000009350","Mpo","17523","Mm.4668","Mm.4668","11","87793581","2","bone/bone_marrow/common_myeloid_progenitor/granulo_mono_progenitor/granulocytes_mac1+gr1+/mega_erythrocyte_progenitor/NK_cells/stem_cells__HSC","granulo_mono_progenitor"
"18","1415978_at",0.58913398713924,8.52825427566286,5.19124868180917,3.89611590637985e-05,0.000948006411399364,1.82094772472787,"ENSMUST00000071134","ENSMUSG00000062380","ENSMUSG00000062380.5","ENSMUST00000071134.4","8","Tubb3","Tubb3","ENSMUSG00000062380","Tubb3","22152","Mm.40068","Mm.40068","8","123411424","4","amygdala/C2C12/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia/dorsal_striatum/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/hippocampus/hypothalamus/min6/neuro2a/nucleus_accumbens/olfactory_bulb/osteoblast_day5/placenta/spinal_cord/testis","dorsal_root_ganglia"
"19","1416006_at",0.67618430072125,12.2068247785835,6.43988990121209,2.27743798367665e-06,9.45934591818816e-05,4.67631146050778,"ENSMUST00000128152","ENSMUSG00000040479","ENSMUSG00000040479.13","ENSMUST00000128152.8","2","Dgkz","Dgkz","ENSMUSG00000040479","Dgkz","104418",NA,NA,"2","91932824","2","amygdala/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia","dorsal_root_ganglia"
"21","1416046_a_at",-0.526153012471086,7.51987163453248,-4.886845871338,7.96693763616281e-05,0.00160216684753807,1.10538470378308,"ENSMUST00000166466","ENSMUSG00000019810","ENSMUSG00000019810.16","ENSMUST00000166466.2","10","Fuca2","Fuca2","ENSMUSG00000019810","Fuca2","66848","Mm.26625/Mm.338317/Mm.401480/Mm.412446","Mm.26625/Mm.338317/Mm.401480/Mm.412446","10","13499540","2","heart/kidney/macrophage_peri_LPS_thio_0hrs/osteoclasts","kidney"
"23","1416066_at",-0.919609040570048,8.86489466391196,-5.87971231620895,7.96839048943009e-06,0.00026075678697791,3.41467143110753,"ENSMUST00000032492","ENSMUSG00000030342","ENSMUSG00000030342.9","ENSMUST00000032492.9","6","Cd9","Cd9","ENSMUSG00000030342","Cd9","12527","Mm.210676/Mm.470273","Mm.210676/Mm.470273","6","125460266","5","C2C12/dorsal_root_ganglia/epidermis/lung/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/macrophage_peri_LPS_thio_0hrs/macrophage_peri_LPS_thio_1hrs/macrophage_peri_LPS_thio_7hrs/mammary_gland__lact/mast_cells_IgE+antigen_1hr/mast_cells_IgE+antigen_6hr/nih_3T3/osteoclasts/placenta/RAW_264_7","macrophage_peri_LPS_thio_0hrs"
"25","1416069_at",-0.390469142538217,7.80166502639496,-4.04613812624537,0.000588127915659746,0.007655054167699,-0.880170433295369,"ENSMUST00000138703","ENSMUSG00000021196","ENSMUSG00000021196.15","ENSMUST00000138703.8","13","Pfkp","Pfkp","ENSMUSG00000021196","Pfkp","56421","Mm.406927","Mm.406927","13","6579768","3","amygdala/Baf3/dorsal_root_ganglia/intestine_small/macrophage_bone_marrow_0hr/mast_cells/neuro2a","dorsal_root_ganglia"
"29","1416108_a_at",-0.478533160185409,8.79468253116649,-4.92162317339647,7.33926720178335e-05,0.0015002934615307,1.18736520639616,"ENSMUST00000058488","ENSMUSG00000032353","ENSMUSG00000032353.10","ENSMUST00000058488.9","9","Tmed3","Tmed3","ENSMUSG00000032353","Tmed3","66111",NA,NA,"9","89699203","4","adipose_white/lacrimal_gland/min6/osteoblast_day14/osteoblast_day21/prostate/salivary_gland","prostate"
"30","1416149_at",-0.561843377710655,6.78858688610637,-6.13318482252356,4.50000144377367e-06,0.000167682910941989,3.98995582499089,"ENSMUST00000056882","ENSMUSG00000046160","ENSMUSG00000046160.7","ENSMUST00000056882.7","16","Olig1","Olig1","ENSMUSG00000046160","Olig1","50914","Mm.39300","Mm.39300","16","91269769","1","amygdala/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_striatum/embryonic_stem_line_V26_2_p16/hippocampus/hypothalamus/microglia/nucleus_accumbens/olfactory_bulb/spinal_cord","spinal_cord"
"31","1416158_at",0.606239410568813,8.21486204313381,6.09812522297195,4.86788953388506e-06,0.000177338031566841,3.91080393868159,"ENSMUST00000032768","ENSMUSG00000030551","ENSMUSG00000030551.15","ENSMUST00000032768.15","7","Nr2f2","Nr2f2","ENSMUSG00000030551","Nr2f2","11819","Mm.158143/Mm.432210/Mm.472219","Mm.158143/Mm.432210/Mm.472219","7","70351946","5","adrenal_gland/amygdala/nih_3T3/ovary/prostate/uterus","nih_3T3"
"32","1416164_at",-0.504402672400674,7.67802478181051,-3.98588970668432,0.000678921222799966,0.00857993274007477,-1.02169360758377,"ENSMUST00000021603","ENSMUSG00000021186","ENSMUSG00000021186.10","ENSMUST00000021603.9","12","Fbln5","Fbln5","ENSMUSG00000021186","Fbln5","23876","Mm.288381","Mm.288381","12","101746565","3","C3H_10T1_2/ciliary_bodies/iris/kidney/osteoblast_day14/osteoblast_day21/osteoblast_day5/umbilical_cord","C3H_10T1_2"
"33","1416209_at",-0.670206444384398,10.648870491083,-5.71905526767842,1.14898301065678e-05,0.000346875843170966,3.04656032849358,"ENSMUST00000022322","ENSMUSG00000021794","ENSMUSG00000021794.17","ENSMUST00000022322.17","14","Glud1","Glud1","ENSMUSG00000021794","Glud1","14661","Mm.10600/Mm.394935","Mm.10600/Mm.394935","14","34310727","1","liver/mast_cells_IgE+antigen_1hr","liver"
"34","1416239_at",-0.749426803337325,8.39077248310046,-5.49737146476049,1.91253637246688e-05,0.000535134076659709,2.53458929850862,"ENSMUST00000102840","ENSMUSG00000076441","ENSMUSG00000076441.10","ENSMUST00000102840.5","2","Ass1","Ass1","ENSMUSG00000076441","Ass1","11898","Mm.3217/Mm.406445","Mm.3217/Mm.406445","2","31470207","3","3T3-L1/C2C12/C3H_10T1_2/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/kidney/liver/macrophage_bone_marrow_24h_LPS/macrophage_bone_marrow_6hr_LPS/osteoblast_day14/osteoblast_day21/osteoblast_day5/placenta/T-cells_CD4+","liver"
"35","1416321_s_at",-0.45986551553006,6.53751372882168,-6.02927545065377,5.68259517618522e-06,0.00020447195311479,3.75496729975778,"ENSMUST00000048432","ENSMUSG00000041577","ENSMUSG00000041577.6","ENSMUST00000048432.6","1","Prelp","Prelp","ENSMUSG00000041577","Prelp","116847","Mm.214514","Mm.214514","1","133910304","3","3T3-L1/adipose_brown/adipose_white/bladder/C3H_10T1_2/lung/osteoblast_day14/osteoblast_day21/osteoblast_day5","osteoblast_day21"
"36","1416382_at",-1.05504619875654,9.2838867366595,-8.43251414423596,3.68395215024549e-08,3.00288149646885e-06,8.83830992589428,"ENSMUST00000032779","ENSMUSG00000030560","ENSMUSG00000030560.18","ENSMUST00000032779.12","7","Ctsc","Ctsc","ENSMUSG00000030560","Ctsc","13032","Mm.322945/Mm.421976","Mm.322945/Mm.421976","7","88278085","2","B-cells_marginal_zone/dendritic_cells_myeloid_CD8a-/dendritic_plasmacytoid_B220+/granulocytes_mac1+gr1+/lymph_nodes/macrophage_bone_marrow_0hr/macrophage_bone_marrow_24h_LPS/macrophage_bone_marrow_2hr_LPS/macrophage_bone_marrow_6hr_LPS/macrophage_peri_LPS_thio_7hrs/mast_cells/mast_cells_IgE/mast_cells_IgE+antigen_1hr/mast_cells_IgE+antigen_6hr/microglia/NK_cells/osteoclasts/thymocyte_SP_CD8+","macrophage_bone_marrow_6hr_LPS"
"37","1416389_a_at",0.517873911731495,9.73458994357824,4.7706475354208,0.000104858862334091,0.00194810439111284,0.831151022529583,"ENSMUST00000170278","ENSMUSG00000022106","ENSMUSG00000022106.15","ENSMUST00000170278.2","14","Rcbtb2","Rcbtb2","ENSMUSG00000022106","Rcbtb2","105670","Mm.280068/Mm.482968","Mm.280068/Mm.482968","14","73123037","1","adipose_brown/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/macrophage_peri_LPS_thio_0hrs/osteoclasts/RAW_264_7/thymocyte_DP_CD4+CD8+","thymocyte_DP_CD4+CD8+"
