"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B","Transcript.stable.ID","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID.version","Chromosome/scaffold.name","Gene.name","MGI.symbol","ensembl.gene","gene.symbol","entrezID","refseqID","unigeneID","chrom","startsite","tiss.number","tissues","max.tissue"
"1","1415802_at",0.743353641425248,10.7305486501305,6.69474829718555,1.30497628384017e-06,4.86271448395529e-05,5.19812064092397,"ENSMUST00000046212","ENSMUSG00000032902","ENSMUSG00000032902.2","ENSMUST00000046212.2","3","Slc16a1","Slc16a1","ENSMUSG00000032902","Slc16a1","20501","Mm.9086/Mm.468394","Mm.9086/Mm.468394","3","104638668","5","bone_marrow/intestine_large/placenta/retinal_pigment_epithelium/stomach/thymocyte_DP_CD4+CD8+","retinal_pigment_epithelium"
"2","1415810_at",0.367531929820071,10.2281711452267,4.92905896293012,7.21169308018418e-05,0.00135917487213529,1.15869805855829,"ENSMUST00000113039","ENSMUSG00000001228","ENSMUSG00000001228.15","ENSMUST00000113039.9","17","Uhrf1","Uhrf1","ENSMUSG00000001228","Uhrf1","18140","Mm.42196","Mm.42196","17","56303321","3","bone/bone_marrow/C2C12/C3H_10T1_2/common_myeloid_progenitor/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/mega_erythrocyte_progenitor/mIMCD-3/neuro2a/nih_3T3/osteoclasts/RAW_264_7/stem_cells__HSC/testis/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD8+","thymocyte_DP_CD4+CD8+"
"6","1415818_at",-0.341182240977,8.76388057655793,-4.46303536424274,0.000217712995761622,0.00330933903347678,0.05625080282499,"ENSMUST00000102727","ENSMUSG00000018340","ENSMUSG00000018340.14","ENSMUST00000102727.3","11","Anxa6","Anxa6","ENSMUSG00000018340","Anxa6","11749","Mm.265347","Mm.265347","11","54979108","4","adipose_brown/C2C12/C3H_10T1_2/dorsal_root_ganglia/macrophage_bone_marrow_6hr_LPS/mammary_gland_non-lactating/mast_cells/osteoblast_day14/osteoblast_day21/osteoblast_day5/uterus","C2C12"
"8","1415832_at",-0.565031832278211,7.80019077389911,-4.97156094758679,6.52438588286359e-05,0.00124039417907153,1.25893517078311,"ENSMUST00000089188","ENSMUSG00000068122","ENSMUSG00000068122.11","ENSMUST00000089188.9","X","Agtr2","Agtr2","ENSMUSG00000068122","Agtr2","11609","Mm.2679/Mm.474819/Mm.491304","Mm.2679/Mm.474819/Mm.491304","X","21484544","2","adrenal_gland/osteoblast_day14/osteoblast_day21/umbilical_cord","umbilical_cord"
"9","1415844_at",-0.481407064136393,6.9454448352501,-4.53846302153867,0.000181942039244898,0.00289508827608951,0.234885434195747,"ENSMUST00000025110","ENSMUSG00000024261","ENSMUSG00000024261.7","ENSMUST00000025110.5","18","Syt4","Syt4","ENSMUSG00000024261","Syt4","20983","Mm.233846/Mm.397086/Mm.491374","Mm.233846/Mm.397086/Mm.491374","18","31437808","4","adrenal_gland/amygdala/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/ciliary_bodies/dorsal_root_ganglia/dorsal_striatum/eyecup/hippocampus/hypothalamus/iris/min6/neuro2a/nucleus_accumbens/olfactory_bulb/pituitary/retina/spinal_cord","cerebral_cortex_prefrontal"
"10","1415856_at",0.788744299495933,9.27937553167532,8.99255797343874,1.27057293986373e-08,1.11964947849343e-06,9.88247518799424,"ENSMUST00000022242","ENSMUSG00000021728","ENSMUSG00000021728.9","ENSMUST00000022242.9","13","Emb","Emb","ENSMUSG00000021728","Emb","13723","Mm.274926/Mm.397844","Mm.274926/Mm.397844","13","117220625","2","common_myeloid_progenitor/dorsal_root_ganglia/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/granulocytes_mac1+gr1+/macrophage_peri_LPS_thio_0hrs/min6/neuro2a/osteoblast_day14/osteoblast_day21/osteoblast_day5/osteoclasts/pituitary/stem_cells__HSC/T-cells_CD4+/T-cells_CD8+/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD4+/thymocyte_SP_CD8+","granulo_mono_progenitor"
"11","1415931_at",0.510108762797497,7.72630581438794,4.34119884588723,0.000291030138641107,0.00413465693699055,-0.232185813870055,"ENSMUST00000000033","ENSMUSG00000048583","ENSMUSG00000048583.17","ENSMUST00000000033.12","7","Igf2","Igf2","ENSMUSG00000048583","Igf2","16002","Mm.3862/Mm.419447","Mm.3862/Mm.419447","7","142650766","2","min6/osteoblast_day14/osteoblast_day21/osteoblast_day5/placenta/umbilical_cord","umbilical_cord"
"14","1415960_at",-0.345029198289319,7.20513288828839,-3.92213777554701,0.000790220440080248,0.0091365735634101,-1.22011832932257,"ENSMUST00000121303","ENSMUSG00000009350","ENSMUSG00000009350.14","ENSMUST00000121303.8","11","Mpo","Mpo","ENSMUSG00000009350","Mpo","17523","Mm.4668","Mm.4668","11","87793581","2","bone/bone_marrow/common_myeloid_progenitor/granulo_mono_progenitor/granulocytes_mac1+gr1+/mega_erythrocyte_progenitor/NK_cells/stem_cells__HSC","granulo_mono_progenitor"
"18","1415975_at",-0.448612249306656,8.66317139165574,-5.35913007086226,2.63448173923972e-05,0.000608098050441099,2.16837439776294,"ENSMUST00000008537","ENSMUSG00000008393","ENSMUSG00000008393.10","ENSMUST00000008537.10","16","Carhsp1","Carhsp1","ENSMUSG00000008393","Carhsp1","52502","Mm.142095/Mm.444863/Mm.448597","Mm.142095/Mm.444863/Mm.448597","16","8658587","3","adipose_brown/bone_marrow/lens","lens"
"19","1415978_at",-1.68151400095605,8.52825427566286,-18.1469596360582,2.95354322941657e-14,2.93601769546843e-11,22.7415152682809,"ENSMUST00000071134","ENSMUSG00000062380","ENSMUSG00000062380.5","ENSMUST00000071134.4","8","Tubb3","Tubb3","ENSMUSG00000062380","Tubb3","22152","Mm.40068","Mm.40068","8","123411424","4","amygdala/C2C12/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia/dorsal_striatum/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/hippocampus/hypothalamus/min6/neuro2a/nucleus_accumbens/olfactory_bulb/osteoblast_day5/placenta/spinal_cord/testis","dorsal_root_ganglia"
"20","1415983_at",-0.599776300403443,8.07638838956092,-6.9847975980786,6.99576373872045e-07,3.10058968591222e-05,5.82847397402813,"ENSMUST00000131802","ENSMUSG00000021998","ENSMUSG00000021998.17","ENSMUST00000131802.2","14","Lcp1","Lcp1","ENSMUSG00000021998","Lcp1","18826",NA,NA,"14","75131101","5","Baf3/B-cells_marginal_zone/bone/bone_marrow/common_myeloid_progenitor/dendritic_cells_lymphoid_CD8a+/dendritic_cells_myeloid_CD8a-/dendritic_plasmacytoid_B220+/follicular_B-cells/granulocytes_mac1+gr1+/lymph_nodes/macrophage_bone_marrow_0hr/macrophage_bone_marrow_24h_LPS/macrophage_bone_marrow_2hr_LPS/macrophage_bone_marrow_6hr_LPS/macrophage_peri_LPS_thio_0hrs/macrophage_peri_LPS_thio_1hrs/macrophage_peri_LPS_thio_7hrs/mast_cells/mast_cells_IgE+antigen_1hr/mast_cells_IgE+antigen_6hr/microglia/NK_cells/osteoclasts/RAW_264_7/spleen/stem_cells__HSC/T-cells_CD4+/T-cells_CD8+/T-cells_foxP3+/thymocyte_SP_CD8+","macrophage_bone_marrow_2hr_LPS"
