"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B","Transcript.stable.ID","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID.version","Chromosome/scaffold.name","Gene.name","MGI.symbol","ensembl.gene","gene.symbol","entrezID","refseqID","unigeneID","chrom","startsite","tiss.number","tissues","max.tissue"
"1","1415793_at",-0.636979283269698,9.13205226489155,-6.38677568442411,2.56036661994255e-06,8.88093123864116e-05,4.57515748047147,"ENSMUST00000018803","ENSMUSG00000018659","ENSMUSG00000018659.13","ENSMUST00000018803.12","11","Pnpo","Pnpo","ENSMUSG00000018659","Pnpo","103711","Mm.254704/Mm.446659","Mm.254704/Mm.446659","11","96937825","3","bone/bone_marrow/liver","liver"
"3","1415802_at",1.0186988715702,10.7305486501305,9.17454648195904,9.06809212524663e-09,7.48519351249789e-07,10.2619214590634,"ENSMUST00000046212","ENSMUSG00000032902","ENSMUSG00000032902.2","ENSMUST00000046212.2","3","Slc16a1","Slc16a1","ENSMUSG00000032902","Slc16a1","20501","Mm.9086/Mm.468394","Mm.9086/Mm.468394","3","104638668","5","bone_marrow/intestine_large/placenta/retinal_pigment_epithelium/stomach/thymocyte_DP_CD4+CD8+","retinal_pigment_epithelium"
"4","1415822_at",-0.263255413654401,11.7331263217171,-3.94219500708956,0.000753376223222479,0.00898129131925738,-1.10369569875777,"ENSMUST00000026221","ENSMUSG00000025203","ENSMUSG00000025203.7","ENSMUST00000026221.7","19","Scd2","Scd2","ENSMUSG00000025203","Scd2","20250","Mm.396983/Mm.397176/Mm.487021","Mm.396983/Mm.397176/Mm.487021","19","44293676","4","3T3-L1/amygdala/C3H_10T1_2/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia/dorsal_striatum/hippocampus/hypothalamus/mast_cells/microglia/mIMCD-3/min6/neuro2a/nih_3T3/nucleus_accumbens/olfactory_bulb/osteoblast_day14/osteoblast_day5/osteoclasts/ovary/spinal_cord/umbilical_cord","spinal_cord"
"5","1415856_at",1.75327584058397,9.27937553167532,19.9892850572192,4.36273630305987e-15,8.55435224200461e-12,24.4736971629246,"ENSMUST00000022242","ENSMUSG00000021728","ENSMUSG00000021728.9","ENSMUST00000022242.9","13","Emb","Emb","ENSMUSG00000021728","Emb","13723","Mm.274926/Mm.397844","Mm.274926/Mm.397844","13","117220625","2","common_myeloid_progenitor/dorsal_root_ganglia/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/granulocytes_mac1+gr1+/macrophage_peri_LPS_thio_0hrs/min6/neuro2a/osteoblast_day14/osteoblast_day21/osteoblast_day5/osteoclasts/pituitary/stem_cells__HSC/T-cells_CD4+/T-cells_CD8+/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD4+/thymocyte_SP_CD8+","granulo_mono_progenitor"
"6","1415895_at",0.328352760734932,10.8414309703879,4.96978312843799,6.55176054015078e-05,0.0012383776951398,1.31997916211776,"ENSMUST00000098402","ENSMUSG00000102252","ENSMUSG00000102252.6","ENSMUST00000098402.5","7","Snrpn","Snrpn","ENSMUSG00000000948","Snrpn","20646","Mm.274995/Mm.390698","Mm.274995/Mm.390698","7","59982495","3","amygdala/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia/dorsal_striatum/hippocampus/hypothalamus/lens/nucleus_accumbens/olfactory_bulb/retina/retinal_pigment_epithelium/spinal_cord","amygdala"
"8","1415971_at",-0.607120440009702,11.7082260997556,-7.68405181095019,1.62962193699348e-07,8.97123586719418e-06,7.35220168592581,"ENSMUST00000092584","ENSMUSG00000069662","ENSMUSG00000069662.6","ENSMUST00000092584.6","10","Marcks","Marcks","ENSMUSG00000069662","Marcks","17118","Mm.30059/Mm.402667/Mm.409583/Mm.485179","Mm.30059/Mm.402667/Mm.409583/Mm.485179","10","37133375","2","3T3-L1/C3H_10T1_2/dendritic_cells_lymphoid_CD8a+/dendritic_cells_myeloid_CD8a-/macrophage_bone_marrow_2hr_LPS/macrophage_bone_marrow_6hr_LPS/microglia/osteoblast_day14/osteoblast_day21/osteoblast_day5/umbilical_cord","osteoblast_day21"
"9","1415978_at",-1.08441859927602,8.52825427566286,-11.7030845645435,1.25035402040792e-10,2.14567330712634e-08,14.5484115745345,"ENSMUST00000071134","ENSMUSG00000062380","ENSMUSG00000062380.5","ENSMUST00000071134.4","8","Tubb3","Tubb3","ENSMUSG00000062380","Tubb3","22152","Mm.40068","Mm.40068","8","123411424","4","amygdala/C2C12/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia/dorsal_striatum/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/hippocampus/hypothalamus/min6/neuro2a/nucleus_accumbens/olfactory_bulb/osteoblast_day5/placenta/spinal_cord/testis","dorsal_root_ganglia"
"10","1415995_at",-0.525728975874321,9.28728461322679,-4.78942462685708,0.000100300059457908,0.00174424900774872,0.894915754893012,"ENSMUST00000152622","ENSMUSG00000027997","ENSMUSG00000027997.10","ENSMUST00000152622.2","3","Casp6","Casp6","ENSMUSG00000027997","Casp6","12368",NA,NA,"3","129901425","1","dendritic_cells_lymphoid_CD8a+/stomach","dendritic_cells_lymphoid_CD8a+"
"12","1416001_a_at",-0.27597377657351,9.25754131913583,-4.50215016710861,0.000198358552752291,0.00307975267261355,0.216125159738735,"ENSMUST00000034285","ENSMUSG00000031827","ENSMUSG00000031827.14","ENSMUST00000034285.14","8","Cotl1","Cotl1","ENSMUSG00000031827","Cotl1","72042","Mm.393405/Mm.408051","Mm.393405/Mm.408051","8","119809225","1","macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/macrophage_bone_marrow_6hr_LPS/macrophage_peri_LPS_thio_0hrs/macrophage_peri_LPS_thio_1hrs/microglia/osteoclasts/T-cells_CD8+","macrophage_bone_marrow_0hr"
"14","1416069_at",0.534050007456596,7.80166502639496,6.77768749886955,1.09065303411415e-06,4.39021508361627e-05,5.43516131877115,"ENSMUST00000138703","ENSMUSG00000021196","ENSMUSG00000021196.15","ENSMUST00000138703.8","13","Pfkp","Pfkp","ENSMUSG00000021196","Pfkp","56421","Mm.406927","Mm.406927","13","6579768","3","amygdala/Baf3/dorsal_root_ganglia/intestine_small/macrophage_bone_marrow_0hr/mast_cells/neuro2a","dorsal_root_ganglia"
