"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2452","1437752_at",2.45235162711321,9.08539776791754,25.6410064903965,2.94141794943398e-17,1.12812759225189e-13,29.1610055042544
"4880","1419406_a_at",-2.14271137482584,7.67719959786185,-25.4362018722738,3.45998341435943e-17,1.12812759225189e-13,29.0159830893137
"1151","1423280_at",-2.156438205755,9.21062542172382,-21.4512722033865,1.06784362161205e-15,2.32113608551072e-12,25.8825456412033
"1546","1418139_at",-2.02928808867938,7.95498062041513,-20.9270218147265,1.7506491088758e-15,2.85399570974477e-12,25.4208730200909
"1346","1424402_at",-1.48084786787693,7.88264482709373,-18.2824786067052,2.55115714093807e-14,2.93601769546843e-11,22.881944399994
"3193","1415978_at",-1.68151400095605,8.52825427566286,-18.1469596360582,2.95354322941657e-14,2.93601769546843e-11,22.7415152682809
"3032","1436888_at",-2.03332608542277,7.21139602650513,-17.9675678041856,3.59080473139253e-14,2.93601769546843e-11,22.5539456719265
"3907","1457086_at",-1.39772202580377,6.94552238946976,-17.9647417137229,3.60192325774382e-14,2.93601769546843e-11,22.5509753167012
"1498","1416776_at",-1.50398275357859,7.26264367857791,-17.4234845401541,6.56423981185759e-14,4.50171627424826e-11,21.9730769680744
"432","1450779_at",-1.67977707557599,9.70619106137395,-17.3787097991193,6.90341400743483e-14,4.50171627424826e-11,21.9244544916613
"3836","1450683_at",-1.37192622548114,8.14153927411783,-17.0882971045258,9.59812612954897e-14,5.6899436809808e-11,21.6059777605358
"4103","1435113_x_at",-2.24253746652097,8.75119525388461,-16.966864418444,1.10322029697646e-13,5.9950829638196e-11,21.4711925736619
"651","1422520_at",-1.95812421223517,9.05155555749166,-16.7932927827449,1.34822370620683e-13,6.76289752936516e-11,21.2768502599855
"652","1426255_at",-2.18845796076537,9.11574195674225,-16.6143248885692,1.66108627668413e-13,7.73710257875517e-11,21.0743603893082
"1813","1418178_at",-1.32191312773803,8.4490711867544,-16.0213924335778,3.36361040197194e-13,1.46227356208393e-10,20.3877879528165
"3842","1417428_at",-1.60445427955635,8.97297569346175,-15.8809735594232,3.98836922141359e-13,1.62550973080238e-10,20.2215607073398
