"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1587","1418197_at",-5.19790565798056,6.75103348809176,-58.1512212969737,1.43506396234095e-24,9.35805209842536e-21,45.7745991664632
"1203","1420332_x_at",-3.84402352711691,6.52202426773603,-51.8024171059683,1.57622033821722e-23,5.13926641275725e-20,43.642489341188
"5337","1428318_at",-4.73110488342282,6.3868289881966,-49.6826510716023,3.74387777354042e-23,8.13794232041903e-20,42.8555540320653
"5575","1419348_at",-4.88411033864639,6.45188193903232,-45.4682542089662,2.34178147230299e-22,3.81768924522196e-19,41.1609987155309
"2253","1453218_at",-4.27292133732938,6.36169035408719,-44.3457841435746,3.92506164408038e-22,5.11906539620963e-19,40.6775573966721
"2510","1420358_at",3.53145213968284,6.5153352273491,42.8761903823337,7.87176686434541e-22,8.5552986203994e-19,40.0222503669095
"2257","1420550_at",-4.06008696228619,6.51814313292846,-42.5100473194412,9.39611286451382e-22,8.75315028421352e-19,39.8548715496154
"3264","1420676_at",-3.55108149710756,6.35697938135575,-41.9409666816532,1.24087620895213e-21,9.82581698612767e-19,39.5913527398322
"2109","1448506_at",4.31190156637457,7.69007838198326,41.7608173275799,1.35611643728184e-21,9.82581698612767e-19,39.5070643972484
"1354","1421404_at",-3.47311221819949,6.61761769187622,-40.7006707120695,2.3046910050511e-21,1.50288900439382e-18,39.00235655136
"1201","1429565_s_at",-3.0099160729899,6.19969105036254,-38.5632136979422,7.00374223379565e-21,4.15194573696195e-18,37.9372596305492
"1205","1419409_at",-3.71286436977552,6.91637310382096,-37.5739557159456,1.19572581891431e-20,6.49777338761686e-18,37.4213816123518
"6058","1417808_at",-3.30908060460907,6.49052580508984,-37.2557487398081,1.42436047354383e-20,7.14481126767637e-18,37.2521877581506
"3218","1428980_at",-2.82457375778864,6.77559290336541,-36.627817586349,2.02040613799606e-20,9.41076316133734e-18,36.9135140606548
"1204","1420350_at",-3.5437312514998,6.98893157484965,-36.0536682175623,2.79564503656313e-20,1.21536008556188e-17,36.5981343198235
"3597","1433923_at",3.57004363308399,6.87127047830071,35.7049721347992,3.41356818598615e-20,1.39124238380098e-17,36.403862534507
"3626","1449986_at",3.93593434951168,6.49348880080405,34.6061415442847,6.48596777454406e-20,2.48794093281187e-17,35.7776801372775
"338","1418645_at",-2.27924289742764,6.63687148485581,-34.3670253991435,7.47774951703138e-20,2.70902247780898e-17,35.6385217582166
"1573","1424599_at",-2.89310655250186,6.77604037221443,-32.6881492679095,2.08794942276123e-19,7.16606220306632e-17,34.6307355939325
"758","1418438_at",-3.10005368140579,7.17081977873167,-32.3959175051165,2.50954029918048e-19,8.18235614547796e-17,34.4495960796653
"1502","1436717_x_at",4.29060472863843,11.5282876125635,30.4974079521944,8.6302035766662e-19,2.67988369159239e-16,33.2284318556968
"3839","1435760_at",-2.35043376680012,6.53209470752779,-28.7913042080738,2.79328558779856e-18,8.27955241728837e-16,32.0602564660742
"3471","1423719_at",-2.29966257601988,6.2111363515828,-28.3418482838955,3.84853689811718e-18,1.09114387446183e-15,31.7404330482046
"3679","1420741_x_at",-3.24915936110593,7.65803314965291,-27.835751240115,5.55331311991036e-18,1.50888145228898e-15,31.3739377926747
"1631","1418278_at",-2.93285190995086,6.82995654983904,-27.729891521032,6.00083117336361e-18,1.56525680326016e-15,31.2964062644525
"1630","1417761_at",-3.79759818517983,7.59943521217036,-27.5160661038524,7.02381744598243e-18,1.76162744481736e-15,31.1388642459769
"4646","1431077_at",-2.1748891881209,6.9183666913663,-26.8316713336436,1.17170226322999e-17,2.82987794760101e-15,30.6260099529906
"3852","1458367_at",-2.49073677890248,6.70147762463514,-26.2658587033701,1.80568838245722e-17,4.20531926500126e-15,30.191790461965
"6317","1449587_a_at",-2.88805014932417,6.04409347859232,-26.1839032248266,1.92382178020924e-17,4.32594545818775e-15,30.1281054938637
